Entity,Code,Year,CO2 mitigation curves to meet a 2C target
Start in 2013,,2031,30425326000
Start in 2013,,2032,29347607000
Start in 2013,,2033,28276410000
Start in 2013,,2034,27215794000
Start in 2013,,2035,26169225000
Start in 2013,,2036,25139665000
Start in 2013,,2037,24129602000
Start in 2013,,2038,23141116000
Start in 2013,,2039,22175908000
Start in 2013,,2040,21235356000
Start in 2013,,2041,20320545000
Start in 2013,,2042,19432298000
Start in 2013,,2043,18571207000
Start in 2013,,2044,17737669000
Start in 2013,,2045,16931894000
Start in 2013,,2046,16153946000
Start in 2013,,2047,15403743000
Start in 2013,,2048,14681099000
Start in 2013,,2049,13985717000
Start in 2013,,2050,13317216000
Start in 2013,,2051,12675144000
Start in 2013,,2052,12058983000
Start in 2013,,2053,11468170000
Start in 2013,,2054,10902094000
Start in 2013,,2055,10360113000
Start in 2013,,2056,9841560000
Start in 2013,,2057,9345743000
Start in 2013,,2058,8871962000
Start in 2013,,2059,8419504000
Start in 2013,,2060,7987654000
Start in 2013,,2061,7575694300
Start in 2013,,2062,7182910000
Start in 2013,,2063,6808594400
Start in 2013,,2064,6452044000
Start in 2013,,2065,6112570000
Start in 2013,,2066,5789495000
Start in 2013,,2067,5482152000
Start in 2013,,2068,5189892600
Start in 2013,,2069,4912084000
Start in 2013,,2070,4648107000
Start in 2013,,2071,4397362000
Start in 2013,,2072,4159267800
Start in 2013,,2073,3933260000
Start in 2013,,2074,3718793000
Start in 2013,,2075,3515340000
Start in 2013,,2076,3322392800
Start in 2013,,2077,3139462000
Start in 2013,,2078,2966074000
Start in 2013,,2079,2801775000
Start in 2013,,2080,2646130200
Start in 2013,,2081,2498720000
Start in 2013,,2082,2359142100
Start in 2013,,2083,2227013000
Start in 2013,,2084,2101962100
Start in 2013,,2085,1983638000
Start in 2013,,2086,1871702000
Start in 2013,,2087,1765832000
Start in 2013,,2088,1665719000
Start in 2013,,2089,1571069000
Start in 2013,,2090,1481601000
Start in 2013,,2091,1397047000
Start in 2013,,2092,1317152000
Start in 2013,,2093,1241672100
Start in 2013,,2094,1170376000
Start in 2013,,2095,1103044100
Start in 2013,,2096,1039464000
Start in 2013,,2097,979438000
Start in 2013,,2098,922776000
Start in 2013,,2099,869298000
Start in 2013,,2100,818831040
Start in 2014,,2014,41303966000
Start in 2014,,2015,42015134000
Start in 2014,,2016,42420535000
Start in 2014,,2017,42559770000
Start in 2014,,2018,42468356000
Start in 2014,,2019,42178142000
Start in 2014,,2020,41717625000
Start in 2014,,2021,41112265000
Start in 2014,,2022,40384790000
Start in 2014,,2023,39555430000
Start in 2014,,2024,38642170000
Start in 2014,,2025,37660987000
Start in 2014,,2026,36625994000
Start in 2014,,2027,35549660000
Start in 2014,,2028,34442965000
Start in 2014,,2029,33315547000
Start in 2014,,2030,32175840000
Start in 2014,,2031,31031171000
Start in 2014,,2032,29887922000
Start in 2014,,2033,28751580000
Start in 2014,,2034,27626860000
Start in 2014,,2035,26517772000
Start in 2014,,2036,25427708000
Start in 2014,,2037,24359502000
Start in 2014,,2038,23315489000
Start in 2014,,2039,22297573000
Start in 2014,,2040,21307265000
Start in 2014,,2041,20345735000
Start in 2014,,2042,19413848000
Start in 2014,,2043,18512208000
Start in 2014,,2044,17641180000
Start in 2014,,2045,16800934000
Start in 2014,,2046,15991460000
Start in 2014,,2047,15212596000
Start in 2014,,2048,14464051000
Start in 2014,,2049,13745423000
Start in 2014,,2050,13056215000
Start in 2014,,2051,12395853000
Start in 2014,,2052,11763694000
Start in 2014,,2053,11159046000
Start in 2014,,2054,10581173000
Start in 2014,,2055,10029306000
Start in 2014,,2056,9502649000
Start in 2014,,2057,9000393000
Start in 2014,,2058,8521716000
Start in 2014,,2059,8065789400
Start in 2014,,2060,7631786000
Start in 2014,,2061,7218880000
Start in 2014,,2062,6826255000
Start in 2014,,2063,6453105000
Start in 2014,,2064,6098635300
Start in 2014,,2065,5762065000
Start in 2014,,2066,5442636000
Start in 2014,,2067,5139602400
Start in 2014,,2068,4852240000
Start in 2014,,2069,4579847700
Start in 2014,,2070,4321741300
Start in 2014,,2071,4077261800
Start in 2014,,2072,3845770000
Start in 2014,,2073,3626651100
Start in 2014,,2074,3419310000
Start in 2014,,2075,3223177000
Start in 2014,,2076,3037700900
Start in 2014,,2077,2862354000
Start in 2014,,2078,2696631800
Start in 2014,,2079,2540046800
Start in 2014,,2080,2392137000
Start in 2014,,2081,2252455000
Start in 2014,,2082,2120577200
Start in 2014,,2083,1996098000
Start in 2014,,2084,1878629000
Start in 2014,,2085,1767799900
Start in 2014,,2086,1663260000
Start in 2014,,2087,1564672900
Start in 2014,,2088,1471718000
Start in 2014,,2089,1384093000
Start in 2014,,2090,1301507000
Start in 2014,,2091,1223685000
Start in 2014,,2092,1150367000
Start in 2014,,2093,1081303900
Start in 2014,,2094,1016260030
Start in 2014,,2095,955013000
Start in 2014,,2096,897350000
Start in 2014,,2097,843069950
Start in 2014,,2098,791983040
Start in 2014,,2099,743909000
Start in 2014,,2100,698676000
Start in 2015,,2015,41480360000
Start in 2015,,2016,42006480000
Start in 2015,,2017,42248806000
Start in 2015,,2018,42244990000
Start in 2015,,2019,42028757000
Start in 2015,,2020,41630286000
Start in 2015,,2021,41076548000
Start in 2015,,2022,40391602000
Start in 2015,,2023,39596863000
Start in 2015,,2024,38711378000
Start in 2015,,2025,37752033000
Start in 2015,,2026,36733784000
Start in 2015,,2027,35669828000
Start in 2015,,2028,34571790000
Start in 2015,,2029,33449867000
Start in 2015,,2030,32312992000
Start in 2015,,2031,31168942000
Start in 2015,,2032,30024462000
Start in 2015,,2033,28885381000
Start in 2015,,2034,27756704000
Start in 2015,,2035,26642694000
Start in 2015,,2036,25546957000
Start in 2015,,2037,24472513000
Start in 2015,,2038,23421864000
Start in 2015,,2039,22397045000
Start in 2015,,2040,21399685000
Start in 2015,,2041,20431049000
Start in 2015,,2042,19492088000
Start in 2015,,2043,18583470000
Start in 2015,,2044,17705617000
Start in 2015,,2045,16858746000
Start in 2015,,2046,16042875000
Start in 2015,,2047,15257880000
Start in 2015,,2048,14503481000
Start in 2015,,2049,13779295000
Start in 2015,,2050,13084833000
Start in 2015,,2051,12419525000
Start in 2015,,2052,11782731000
Start in 2015,,2053,11173757000
Start in 2015,,2054,10591862000
Start in 2015,,2055,10036271000
Start in 2015,,2056,9506181000
Start in 2015,,2057,9000773000
Start in 2015,,2058,8519211500
Start in 2015,,2059,8060661000
Start in 2015,,2060,7624281000
Start in 2015,,2061,7209233000
Start in 2015,,2062,6814689300
Start in 2015,,2063,6439829000
Start in 2015,,2064,6083847000
Start in 2015,,2065,5745952300
Start in 2015,,2066,5425370000
Start in 2015,,2067,5121345000
Start in 2015,,2068,4833144300
Start in 2015,,2069,4560051000
Start in 2015,,2070,4301373000
Start in 2015,,2071,4056440800
Start in 2015,,2072,3824607000
Start in 2015,,2073,3605245200
Start in 2015,,2074,3397752000
Start in 2015,,2075,3201550000
Start in 2015,,2076,3016081200
Start in 2015,,2077,2840810000
Start in 2015,,2078,2675223000
Start in 2015,,2079,2518830000
Start in 2015,,2080,2371157800
Start in 2015,,2081,2231759000
Start in 2015,,2082,2100202100
Start in 2015,,2083,1976076000
Start in 2015,,2084,1858988000
Start in 2015,,2085,1748566000
Start in 2015,,2086,1644453000
Start in 2015,,2087,1546309000
Start in 2015,,2088,1453812000
Start in 2015,,2089,1366655000
Start in 2015,,2090,1284546000
Start in 2015,,2091,1207206900
Start in 2015,,2092,1134375000
Start in 2015,,2093,1065799000
Start in 2015,,2094,1001243000
Start in 2015,,2095,940482050
Start in 2015,,2096,883301000
Start in 2015,,2097,829499000
Start in 2015,,2098,778884000
Start in 2015,,2099,731275000
Start in 2015,,2100,686500030
Start in 2016,,2016,41012740000
Start in 2016,,2017,41284096000
Start in 2016,,2018,41318030000
Start in 2016,,2019,41146350000
Start in 2016,,2020,40797573000
Start in 2016,,2021,40297247000
Start in 2016,,2022,39668200000
Start in 2016,,2023,38930838000
Start in 2016,,2024,38103327000
Start in 2016,,2025,37201830000
Start in 2016,,2026,36240700000
Start in 2016,,2027,35232637000
Start in 2016,,2028,34188870000
Start in 2016,,2029,33119281000
Start in 2016,,2030,32032560000
Start in 2016,,2031,30936291000
Start in 2016,,2032,29837100000
Start in 2016,,2033,28740727000
Start in 2016,,2034,27652127000
Start in 2016,,2035,26575553000
Start in 2016,,2036,25514619000
Start in 2016,,2037,24472388000
Start in 2016,,2038,23451408000
Start in 2016,,2039,22453789000
Start in 2016,,2040,21481236000
